Time_s,Radiation_Classical,Radiation_Quantum,ThermalDrift_Classical,ThermalDrift_Quantum,Jitter_Classical,Jitter_Quantum,Maneuver_Disturbance,Micro_Impact,Total_Env_Classical,Total_Env_Quantum
0,0,0,0,0,-0.00018872420269605,0.00381682031849849,0,0,-0.00018872420269605,0.00381682031849849
0.001,0,0,8.0005026547915e-06,1.20009047786461e-05,-0.00135897771723592,0.0029950452402462,0,0,-0.00135097721458113,0.00300704614502485
0.002,0,0,1.60020106187691e-05,2.40036191141273e-05,0.00118442876997815,-0.00201981529454438,0,0,0.00120043078059692,-0.00199581167543025
0.003,0,0,2.40045238907422e-05,3.6008143005072e-05,0.00126669754464186,-0.00355266652192233,0,0,0.0012907020685326,-0.00351665837891726
0.004,0,0,3.20080424687264e-05,4.8014476449194e-05,-0.0003320266713942,-0.00154576606151731,0,0,-0.000300018628925473,-0.00149775158506811
0.005,0,0,4.00125663499435e-05,6.0022619443293e-05,0.00170937296633987,-0.00402384338277421,0,0,0.00174938553268981,-0.00396382076333091
0.006,0,0,4.80180955308216e-05,7.20325719832542e-05,0.00110726633800537,-0.00230370663840725,0,0,0.00115528443353619,-0.00223167406642399
0.007,0,0,5.60246300069951e-05,8.40443340640482e-05,-0.000116542971887731,-0.00240825504478125,0,0,-6.05183418807359e-05,-0.00232421071071721
0.008,0,0,6.40321697733044e-05,9.60579056797314e-05,-0.00193257101234355,0.000744851368960112,0,0,-0.00186853884257024,0.000840909274639844
0.009,0,0,7.20407148237966e-05,0.000108073286823446,0.00188233575231132,0.000916475296402303,0,0,0.00195437646713512,0.00102454858322575
0.01,0,0,8.00502651517245e-05,0.000120090477487419,-0.000539765736106679,-6.63891830525582e-05,0,0,-0.000459715470954954,5.37012944348605e-05
0.011,0,0,8.80608207495476e-05,0.000132109477662964,-0.00221510800603218,-0.000398126331113829,0,0,-0.00212704718528264,-0.000266016853450866
0.012,0,0,9.60723816089314e-05,0.000144130287340479,0.000808531434719091,-0.00138283388550553,0,0,0.000904603816328022,-0.00123870359816505
0.013,0,0,0.000104084947720748,0.000156152906509449,0.00241468622417955,0.00197991653391761,0,0,0.0025187711719003,0.00213606944042706
0.014,0,0,0.000112098519075075,0.000168177335158444,-5.13406134895267e-05,0.00144080910326748,0,0,6.07579055855485e-05,0.00160898643842593
0.015,0,0,0.000120113095661198,0.00018020357327512,-0.00120546229506997,0.0022907570669149,0,0,-0.00108534919940877,0.00247096064019002
0.016,0,0,0.000128128677467606,0.000192231620846217,0.000568483365109191,0.000466850967782696,0,0,0.000696612042576797,0.000659082588628913
0.017,-4.18921647706704,0,0.000136145264481998,0.000204261477857562,-0.000558627490997026,-0.000731084085942321,0,0,-4.18963895929356,-0.000526822608084758
0.018,0,0,0.000144162856691275,0.000216293144294069,0.00219101513763539,0.00644438121715708,0,0,0.00233517799432667,0.00666067436145115
0.019,0,0,0.000152181454081548,0.000228326620139734,-0.00218763202856699,-0.00146753339517487,0,0,-0.00203545057448544,-0.00123920677503513
0.02,0,0,0.000160201056638134,0.000240361905377642,-0.00114366154110236,-0.00149328264482463,0,0,-0.000983460484464229,-0.00125292073944698
0.021,0,0,0.000168221664345553,0.000252398999989963,-0.000273645887511591,-0.00225746209427715,0,0,-0.000105424223166038,-0.00200506309428719
